alpha_color,beta_texture,gamma_edges
0.45,0.35,0.2
0.4140929996967316,0.326885986328125,0.199853515625
0.42799070477485657,0.33024197518825527,0.1992993235588074
0.42192008793354036,0.3275327175855636,0.19989588260650637
0.42765408754348755,0.3289882332086563,0.19977902173995973
0.41580996215343474,0.3306247442960739,0.19988772869110108
0.42930855453014377,0.3284256160259247,0.19969162940979004
0.42949891090393066,0.3302673429250717,0.1992431879043579
0.4301299810409546,0.33019046783447265,0.19913454055786134
0.429022228717804,0.3321000576019287,0.1999921202659607
0.42476550936698915,0.3289300292730331,0.19976335763931274
0.4231484055519104,0.32498782873153687,0.1998240113258362
0.4288393557071686,0.3287961602210998,0.19856327772140503
0.4327439546585083,0.3257782757282257,0.19800034761428834
0.4200819432735443,0.326028698682785,0.19802708625793458
0.4312363386154175,0.3296964645385742,0.1980769157409668
0.42233658134937285,0.32770397067070006,0.19885666370391847
0.429034298658371,0.32567951679229734,0.19796167612075807
0.421706959605217,0.3310627967119217,0.19847862720489504
0.41702803373336794,0.3322100609540939,0.19909180402755738
0.4225360035896301,0.3315371692180633,0.19867335557937624
0.4284507840871811,0.33145080208778377,0.19822698831558228
0.4263511776924133,0.33181275129318233,0.1988527536392212
0.42020170390605927,0.33049561083316803,0.19864155054092408
0.4213670164346695,0.3284294754266739,0.19929541349411012
0.43383604288101196,0.32595793604850765,0.19867146015167236
0.42142159938812257,0.3303813934326172,0.19881113767623904
0.42151571810245514,0.3286285370588302,0.19843112230300905
0.4246598035097122,0.32972485721111294,0.19853397607803347
0.4187806159257889,0.3344456762075424,0.19885141849517823
0.42271429002285005,0.3314853489398956,0.1989332675933838
0.4221751123666763,0.33049135506153104,0.1988157033920288
0.42629511952400206,0.3305904060602188,0.1999491333961487
0.42421946525573734,0.3297534793615341,0.199950647354126
0.4303998112678528,0.3294484615325928,0.1992939352989197
0.4303764492273331,0.3279378086328506,0.19918274879455566
0.43355062901973723,0.32851167023181915,0.19968746900558473
0.429866561293602,0.32966942787170406,0.19887301921844483
0.42992731332778933,0.33092018663883205,0.1993688225746155
0.4265912353992462,0.33261867761611935,0.19996190071105957
0.4252651780843735,0.3343595385551452,0.19876663684844972
0.43186874985694884,0.3319084644317627,0.19860857725143433
0.4284097731113434,0.3314695358276367,0.19938615560531617
0.4262225657701492,0.33298638463020325,0.1997342348098755
0.4260284543037415,0.33264871835708615,0.19981298446655274
0.42187129855155947,0.33659290075302123,0.19977350234985353
0.4308991312980652,0.3327590763568878,0.1998245120048523
0.42936201095581056,0.33340835273265834,0.19985769987106325
0.43019271790981295,0.33426100909709927,0.19959803819656374
0.42510958313941954,0.3306465446949005,0.199764621257782
0.42264023423194885,0.3332591712474823,0.1999306082725525
0.4235218226909638,0.33305635452270504,0.19866454601287842
0.4232409417629242,0.33070111870765684,0.19987704753875735
0.4317505180835724,0.32976276278495786,0.19899373054504396
0.4305972754955292,0.32898051440715786,0.1999229431152344
0.42321664094924927,0.32997784614562986,0.1999755144119263
0.4316636949777603,0.3297894239425659,0.1994884490966797
0.4325181931257248,0.3274299532175064,0.19987558126449587
0.4262870192527771,0.32860909402370453,0.19966207742691042
0.4323906272649765,0.3318524301052093,0.19997193813323977
