center_x,center_y,step_distance
528.0,81.5,0.0
528.0,84.0,2.5
528.0,89.5,5.5
535.0,91.5,7.280109889280518
527.0,92.0,8.0156097709407
520.5,85.5,9.192388155425117
526.0,87.5,5.852349955359813
528.5,87.0,2.5495097567963922
527.0,85.5,2.1213203435596424
529.5,85.5,2.5
524.5,81.5,6.4031242374328485
529.5,84.0,5.5901699437494745
528.5,85.0,1.4142135623730951
530.5,84.5,2.0615528128088303
530.5,87.5,3.0
532.0,90.0,2.9154759474226504
521.0,90.5,11.01135777277262
527.5,85.5,8.200609733428363
523.5,88.0,4.716990566028302
525.5,93.5,5.852349955359813
522.5,91.5,3.605551275463989
527.5,93.5,5.385164807134504
529.5,91.5,2.8284271247461903
519.5,88.5,10.44030650891055
523.5,89.5,4.123105625617661
525.5,89.0,2.0615528128088303
527.0,90.0,1.8027756377319946
528.5,91.5,2.1213203435596424
527.0,92.0,1.5811388300841898
530.5,97.0,6.103277807866851
533.0,89.5,7.905694150420948
527.5,88.0,5.70087712549569
533.5,93.5,8.139410298049853
531.5,91.5,2.8284271247461903
530.5,90.5,1.4142135623730951
533.5,91.0,3.0413812651491097
528.5,90.5,5.024937810560445
528.5,92.0,1.5
528.5,91.0,1.0
530.5,90.0,2.23606797749979
531.0,89.5,0.7071067811865476
532.0,88.5,1.4142135623730951
529.0,87.0,3.3541019662496847
527.5,90.5,3.8078865529319543
527.0,83.5,7.0178344238090995
523.5,81.0,4.301162633521313
525.5,85.5,4.924428900898052
523.0,84.0,2.9154759474226504
527.5,88.5,6.363961030678928
529.5,89.0,2.0615528128088303
522.0,82.5,9.924716620639604
523.0,82.0,1.118033988749895
531.5,91.0,12.379418403139947
529.0,87.5,4.301162633521313
535.0,90.5,6.708203932499369
537.0,87.5,3.605551275463989
534.5,88.5,2.692582403567252
540.0,97.0,10.124228365658293
540.0,97.5,0.5
533.0,90.5,9.899494936611665
