color,texture,edges
1.0,1.0,1.0
0.9202066659927368,0.9339599609375,0.999267578125
0.9510904550552368,0.9435485005378723,0.9964966177940369
0.9376001954078674,0.9358077645301819,0.9994794130325317
0.9503424167633057,0.9399663805961609,0.9988951086997986
0.9240221381187439,0.9446421265602112,0.9994386434555054
0.9540190100669861,0.9383589029312134,0.9984581470489502
0.954442024230957,0.9436209797859192,0.9962159395217896
0.9558444023132324,0.9434013366699219,0.9956727027893066
0.9533827304840088,0.948857307434082,0.9999606013298035
0.9439233541488647,0.9398000836372375,0.9988167881965637
0.9403297901153564,0.9285366535186768,0.9991200566291809
0.9529763460159302,0.9394176006317139,0.9928163886070251
0.9616532325744629,0.9307950735092163,0.9900017380714417
0.9335154294967651,0.9315105676651001,0.9901354312896729
0.9583029747009277,0.9419898986816406,0.990384578704834
0.9385257363319397,0.9362970590591431,0.9942833185195923
0.9534095525741577,0.9305129051208496,0.9898083806037903
0.9371265769004822,0.9458937048912048,0.9923931360244751
0.9267289638519287,0.9491716027259827,0.9954590201377869
0.9389688968658447,0.9472490549087524,0.9933667778968811
0.9521128535270691,0.9470022916793823,0.9911349415779114
0.9474470615386963,0.9480364322662354,0.994263768196106
0.9337815642356873,0.9442731738090515,0.9932077527046204
0.9363711476325989,0.9383699297904968,0.9964770674705505
0.9640800952911377,0.931308388710022,0.9933573007583618
0.9364924430847168,0.9439468383789062,0.9940556883811951
0.9367015957832336,0.9389386773109436,0.9921556115150452
0.9436884522438049,0.9420710206031799,0.9926698803901672
0.9306235909461975,0.9555590748786926,0.9942570924758911
0.9393650889396667,0.9471009969711304,0.994666337966919
0.9381669163703918,0.9442610144615173,0.994078516960144
0.9473224878311157,0.9445440173149109,0.9997456669807434
0.9427099227905273,0.9421527981758118,0.9997532367706299
0.9564440250396729,0.9412813186645508,0.9964696764945984
0.9563921093940735,0.9369651675224304,0.9959137439727783
0.9634458422660828,0.9386047720909119,0.9984373450279236
0.9552590250968933,0.9419126510620117,0.9943650960922241
0.9553940296173096,0.9454862475395203,0.9968441128730774
0.947980523109436,0.9503390789031982,0.9998095035552979
0.9450337290763855,0.955312967300415,0.9938331842422485
0.9597083330154419,0.9483098983764648,0.9930428862571716
0.9520217180252075,0.9470558166503906,0.9969307780265808
0.9471612572669983,0.9513896703720093,0.9986711740493774
0.9467298984527588,0.9504249095916748,0.9990649223327637
0.937491774559021,0.9616940021514893,0.9988675117492676
0.9575536251068115,0.9507402181625366,0.9991225600242615
0.9541378021240234,0.9525952935218811,0.9992884993553162
0.9559838175773621,0.9550314545631409,0.9979901909828186
0.9446879625320435,0.9447044134140015,0.9988231062889099
0.9392005205154419,0.9521690607070923,0.9996530413627625
0.9411596059799194,0.9515895843505859,0.9933227300643921
0.9405354261398315,0.9448603391647339,0.9993852376937866
0.959445595741272,0.9421793222427368,0.9949686527252197
0.9568828344345093,0.939944326877594,0.9996147155761719
0.940481424331665,0.9427938461303711,0.9998775720596313
0.959252655506134,0.9422554969787598,0.9974422454833984
0.9611515402793884,0.9355141520500183,0.9993779063224792
0.9473044872283936,0.9388831257820129,0.998310387134552
0.9608680605888367,0.9481498003005981,0.9998596906661987
