color,texture,edges
1.0,1.0,1.0
0.9322509765625,0.9324951171875,0.998779296875
0.9179402589797974,0.9195617437362671,0.99859619140625
0.9028817415237427,0.9054275155067444,0.9996429681777954
0.909332811832428,0.8904426693916321,0.9994166493415833
0.9155394434928894,0.8879212737083435,0.9990795850753784
0.9061181545257568,0.8995048403739929,0.995951771736145
0.9170563220977783,0.8932579755783081,0.9955438375473022
0.915057897567749,0.9056042432785034,0.9989404678344727
0.9221957921981812,0.9080607891082764,0.996367871761322
0.9301381707191467,0.9029027819633484,0.9966715574264526
0.9043351411819458,0.8984421491622925,0.9954952001571655
0.9239050149917603,0.9251400232315063,0.9951100945472717
0.9237751960754395,0.9134728908538818,0.9946221709251404
0.901488184928894,0.9096782207489014,0.9930599927902222
0.9121636152267456,0.9203070402145386,0.9866930842399597
0.9288488030433655,0.9264809489250183,0.9895556569099426
0.8955650329589844,0.9122591018676758,0.9911764860153198
0.9267653226852417,0.9133658409118652,0.9916176199913025
0.913881778717041,0.9206814765930176,0.9915484189987183
0.9128226041793823,0.9301985502243042,0.9918489456176758
0.9043368101119995,0.9194322824478149,0.9943316578865051
0.5956366658210754,0.7594022750854492,0.9658064842224121
0.6021770238876343,0.7945278882980347,0.9839956164360046
0.6174564361572266,0.8101661801338196,0.9835751056671143
0.6393792629241943,0.8131309151649475,0.9835418462753296
0.6599066853523254,0.8222537636756897,0.9854633808135986
0.6853699088096619,0.8238661289215088,0.9838708639144897
0.8907452821731567,0.940794050693512,0.9982326626777649
0.8870127201080322,0.9431082010269165,0.997832715511322
0.8789976835250854,0.9374534487724304,0.9957438111305237
0.8705177307128906,0.9553036093711853,0.9996187686920166
0.9014912247657776,0.9573094844818115,0.9962116479873657
0.8964869976043701,0.950454831123352,0.9910299777984619
0.890223503112793,0.9287745356559753,0.995506763458252
